Rd,Pick,School,Pos,B/T,Class,TeamId,TeamNm,FirstNm,LastNm,FullNm,BonusType,BonusAmount,Year
10,312,Antelope Valley Col (CA),C,R/R,JC J1,112.0,Chicago Cubs, Wyatt,Hendrie, Wyatt Hendrie,SignedBonus,0.0,2019
11,342,Seminole State (OK),SS,S/R,JC J1,112.0,Chicago Cubs, Mack,Chambers, Mack Chambers,SignedBonus,0.0,2019
12,372,Harvard (MA),P,R/R,4YR JR,112.0,Chicago Cubs, Hunter,Bigge, Hunter Bigge,SignedBonus,125000.0,2019
13,402,Cottonwood Senior HS (UT),P,R/R,HS SR,112.0,Chicago Cubs, Porter,Hodge, Porter Hodge,SignedBonus,0.0,2019
14,432,Texas (TX),3B,S/R,4YR JR,112.0,Chicago Cubs, Ryan,Reynolds, Ryan Reynolds,SignedBonus,125000.0,2019
15,462,Jacksonville University (FL),P,R/R,4YR JR,112.0,Chicago Cubs, Zach,Bryant, Zach Bryant,SignedBonus,125000.0,2019
16,492,Leadership Christian Academy (PR),P,R/R,HS SR,112.0,Chicago Cubs, Johzan,Oquendo, Johzan Oquendo,SignedBonus,125000.0,2019
17,522,Sacramento State (CA),P,R/R,4YR SR,112.0,Chicago Cubs, Tanner,Dalton, Tanner Dalton,SignedBonus,5000.0,2019
18,552,Lander University (SC),P,R/R,4YR SR,112.0,Chicago Cubs, Alex,Moore, Alex Moore,SignedBonus,1000.0,2019
19,582,Duke (NC),P,R/L,4YR JR,112.0,Chicago Cubs, Adam,Laskey, Adam Laskey,SignedBonus,125000.0,2019
20,612,West Virginia (WV),OF,L/L,4YR SR,112.0,Chicago Cubs, Darius,Hill, Darius Hill,SignedBonus,5000.0,2019
21,642,Florida (FL),OF,R/R,4YR SR,112.0,Chicago Cubs, Nelson,Maldonado, Nelson Maldonado,SignedBonus,5000.0,2019
22,672,Florence-Darlington Tech (SC),P,L/R,JC J1,112.0,Chicago Cubs, Elian,Almanzar, Elian Almanzar,SignedBonus,75000.0,2019
23,702,Westwood HS (AZ),OF,R/R,HS SR,112.0,Chicago Cubs, Manny,Collier, Manny Collier,SignedBonus,125000.0,2019
24,732,Clemson (SC),3B,L/R,4YR 5S,112.0,Chicago Cubs, Grayson,Byrd, Grayson Byrd,SignedBonus,5000.0,2019
